sk_d_aluno,sk_d_periodo,sk_d_curso,situacao_matricula,situacao_matricula_simplificada
3d7d3a31277e6bb8e6761744fe646ddf1c5ed4a603438bcd9610e171104df20d,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Ativa,Ativa
4c66e8079db3f54d9d0c7c15e7e1690b0f8ba73b5d8be5c6e25b32759b65d52a,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
8230216d15ddac59f76c7f3eb7974b26426d59631fba56c75c2df6cc9ab7ff98,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
19de0a02ae75d7d9ec7b6d4a4f14a90f029d5088ff3c34a22e3711a74f92d933,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Ativa,Ativa
e6a5cba511663e9b2cd3ccb6ffbd2db55690e287cedb1d7190c7fa065e15e4b5,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por ativação do segmento referente via AGF,Ativa
b6c8b56358c5d03878ccdf5c852ab9d528aaaab85f60d0f35e42ad62ce99c1ff,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
221712ae996b480a35cb59e53ce5dc25427142add7edace578d3720fc3485564,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
b0e37009423a611240aa65f7db7b2829cf88c33cd496e600c0ba94200062989e,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Ativa,Ativa
87dd2f59e714b0958fe3119a653d47678e6026020f8cd02b12a7a0ebb20a9b21,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
525d8cd5e384904213107dbbda6eac6ccb5048e5e8b9814c58835c11fc34c5b7,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
e185aecec1383e125a27552ec529648211e34890db3ba4838c552cf1d3187702,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
f26135b8908b8982a3e8878c0ba9e3fc9d157377d9482528c9d6380cf55ea00a,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Ativa,Ativa
f709e24dfbfa70e716e01c8337a3cdf06cbb631c37458a388e069c2e0ca850bd,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,d77d7f63a0b49ea382bbe247fc46373d2cdd760b5410c844199f77341e3ec0e7,Trancamento Solicitado,Trancada
8dfc4ee42f413ce37ca68ac48862736d7fe3b533a06fd8db50601004056802bb,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
5547187e0421899c97ac04aa32cccb344bc968547f4113507e55b9c7d1581c1b,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
3f3dd9879aed3203b36f20b5cfb92aa2b7114ba6f4802652ab7ffd723240dded,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Ativa,Ativa
db5bf9c65d3c1dee5aaf7d649563a0f019f40a6f636ed31fd727e27a83532410,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
97770a7a3cfcd976498175f1084e857b46a34a708537dd4c8b040fe19ed02138,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,71893a90c396f0286a8af5c47f89a86b4bf5b9c28660f0eb9c468b432957b8c1,Ativa,Ativa
bb786b323017d6d4259487bf21a89909e7163be9126b9289606f2fd7867cf6db,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,4dce300cff0e9be5e52506ec008023b64e30fc531bc00b1518cd7c5d06cb9cca,Rematrícula por destrancamento ou descancelamento,Ativa
76bab19fc9354a168eea83d0d845cb325e7c01198e334fd51cfca1cdd2169d2d,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Ativa,Ativa
18cd60ebb0d187ff64852605e212bc5b4d2aa1f8887b7c55029ab829aeb807b7,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Trancada,Trancada
451fd70bdd7a0b1ff088daa20aceb55215794b9abf928916e8bacdcc68862f55,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,b8c872a2cca1ae805ba65a0a7fcdf296d0361878c23aced0e293b2d946a541da,Trancamento Solicitado,Trancada
c9e31a8fdf0d8e344be6009c55c62823d0f7b9eaae0d668c7063c2b0b6373d0e,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Ativa,Ativa
45ddf995fb32366e076cfa9799f5c97dabb9306b07a8cfe7bdcdb260bf97fba4,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,daf83baa2a27b7f833850f10a54879fb7a4e308cba1a2a6cdd6ad069038e586b,Trancamento Solicitado,Trancada
c6507a04654017828d00969be860047f15f20affef316e4c892c96a00c5f42c1,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
7b636678079c76576506ba87121c86b1f015403e62ce8157692d2e76779b21eb,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
eec558a2b3a0f9ec64cee7e084136f2fd2619a3b15a9c0f495b2d5edd4201534,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Ativa,Ativa
6f33eed85b7be7c232fc41ebcec07df20a2d71df4cb4dc237e2dde277d7d6524,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
066209a5bcea9fbaf17cbaa216cbff423dcacc784c466251a09fff3c2b711fd0,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Rematrícula por destrancamento ou descancelamento,Ativa
e6e615c689ab106219ebd7170527af7208e0a2713f9fc41bd9a61961e2f4c96a,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
57fd809671c4686a05971433719057b6d33fbb8b75a66a3973d1d841bc1f942c,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
a079f52183f6e9ade39df7aa5e0e9028ed596c534247f7c69279bdae480f1c8a,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
fec6166f1cc18692fea3763e1cd55c6a81b0ae9b4048b09281a3c7895d42aba9,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Ativa,Ativa
01777d6dddb5871a3e610e1dd7077902aae9ac9c67ceaff70cc114e9cd6e8b9e,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,b8c872a2cca1ae805ba65a0a7fcdf296d0361878c23aced0e293b2d946a541da,Trancamento Solicitado,Trancada
fd4b9ae30fee2b146bad1e71a8f4a15a46c05c0c5717ca48c03703f8f86a4881,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
083bef76988bf240a468e03a50c48dabc27fd7672c9c1612f8c4e0650680bc09,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,f51dfb141724e65177c639e09f562e2adf566801ef3cbb190c8c0fde26749633,Rematrícula por destrancamento ou descancelamento,Ativa
494dcfb405cbcbfb43cfe9e7c4802c482bb8e61eff6e3c3a1408c1d4953b6a28,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,d77d7f63a0b49ea382bbe247fc46373d2cdd760b5410c844199f77341e3ec0e7,Trancamento Solicitado,Trancada
c179fe33ff0c7592b19d42546f482366f2c41f9935f45869eba5352dae689181,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
677e3b1bc332b591643d0b99ed4d8d16c2343ddc873f98c7530996d2422757fd,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,ee4f43e8dbb44978dcb9408d559b87f8af9d22fb90a06c306aa6797331e79987,Rematrícula por destrancamento ou descancelamento,Ativa
332775328c422e00b49f3ff0761529da4036952e7ce4f9f6ccaced7327a474f0,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
7e8229679ad93855c1735e02c378fb9c2222d9a12f3034100e0b20eac84377a6,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
8e9c69fee870dbd4ddca3b76b1ba9324c2d2933b86b56364be371989a4710c00,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
cc1dcb19d597ada7ba5062bd8ed0f40372dbd7d9d21b2774b399eea895ea434f,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
cc7b1967088c6b2b233fc2a269ffd43c7563d3a775c1a7e771a6108abded028c,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Ativa,Ativa
46f83464b66da0390dc6fe66144a909205ec5cd24cb9a2ac44a29d68d15101ab,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Ativa,Ativa
fff403411b81c85acc53464ada060ed7cb420fdd4b57fd2fcc116d03b914adc3,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
5cee673f198b5402743b145f94a74f160ca786105ca73f6d1a48ace1ba12595e,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Trancamento Solicitado,Trancada
e98e091d7540de180bc0521b1058d302084f9675bfecb88814ab2fa3b3ccde1a,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Trancamento Solicitado,Trancada
a2af9c0b470e1929a41c9053aadf52a51697ca4845b7dd878021e2052a0f495d,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,b4e29ed3a122254f6086a4c55107b33ab9d5b32bc0e57de35915df469ac7080c,Ativa,Ativa
e440e8835f1c4c5eecb3f9cd5f26a553c1233afd3344f0517dcee68c23acc16b,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Trancamento Solicitado,Trancada
624bf955f2672429f57db535a706e8c54f26bce3849243c431578d0fd3ae4b5b,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Rematrícula por destrancamento ou descancelamento,Ativa
74cfa6474163b2a2e92cad9ceafc9e31cc33a9671d1047d880f1f2cf7c9d8cae,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
d5b1f9ff5d87b6454faa09bdb76d34d413f1ccef29e04045fd6964b2a465702b,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
e7fc5f8f17c1130eb8cad87a998c5a2e92103fc7b2ac867cdf41c7092281b26a,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,ead5722322132547db9b89147353c2c974827173daeeba09dccada7d6aa48caf,Trancamento Solicitado,Trancada
7f32a2043f94c7045f17cbf00c458704dd8da9e36cc9db9302e5fc1b3322262e,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,b8c872a2cca1ae805ba65a0a7fcdf296d0361878c23aced0e293b2d946a541da,Trancamento Solicitado,Trancada
d3f4131829e94e35001df706b0533a94e63ed17741b9657ea7983cbb302febed,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Ativa,Ativa
758217a46e521c4df64ab7925b689dec59c76a530e0671e4bf38b015ce5441a8,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
6059a4717215f5543c2f7278dc27baece5bf0f96acfb10644c4eabb74f785075,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Ativa,Ativa
7376c17243b865431d963bb2c4950d18f1c3bf43f013e2116cd291fd9ba663b8,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
7461d318bc224d8c7809989d87586740c4561c214e218060699f48b46818675d,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Rematrícula por destrancamento ou descancelamento,Ativa
9e3f8f36dfcd75764f0a7dab83d4b8e5009377a961c90f67e9fb10d89ab11aa5,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Rematrícula por destrancamento ou descancelamento,Ativa
18953d6df4b87a5ba0b12815e27559fec730304bc79ad1106628831a229c53a7,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Rematrícula por destrancamento ou descancelamento,Ativa
4ab188e85fc624885b0f57440580e3097d157d99322eaba7aa01e99cbf038f6f,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
995e8be86be78eab87042415eb4ea3f1fbce4ca53714d38717b0972c096de272,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Rematrícula por destrancamento ou descancelamento,Ativa
7b7d544e4d77e9ddab045b3fbb991c960f9f7d69beb4f3392f1b442b0808299a,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,055bd52c6bfe698104c524774fce4fd3e02dc1a43a65ac8ebe0328c0343d78eb,Rematrícula por destrancamento ou descancelamento,Ativa
dbfaa0f7df45dd3805760bdcb3f4ebd57701e39377709e3fa00315ff7511c114,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,67ad623afa80b05ee739da6b68b0d3fbb35fa7f1682be64f9012ee28b06d6f50,Rematrícula por destrancamento ou descancelamento,Ativa
8046cde06bca6a26f0f9233508f326de35e867e0183c66a5f350f5c2406a1ce6,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Ativa,Ativa
f2a48e3633253bcc47437f69603789fb73090b01259ed4121cb516c7f8462779,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Ativa,Ativa
4439831e4020dde4be3102c54aa989f6580957521dc452ef400f0e0c36bca54d,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Ativa,Ativa
7304337ccb5851de81d2f310c9cfbb97d18f971195a5e435cebbeeb5ae672e33,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Ativa,Ativa
77917dd73c4d16a7cee88bbc4784a00be9273b398e9c4ad244d6309930a11aab,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
e48644f8525806d873348aad26acd72a194b06cf180ce205645f95ac737e9613,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
8cb23dcd2cb590e0f3ad774dcd1c75552b5060066b79e73dfd4fc97ee5b5b9ce,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,d0b6e5d5a159399af0f59a2da1ec4a120e6f42bc2292393c46001485d3c090d7,Trancamento Solicitado,Trancada
f5e592dd557a876b2f7014e9cd7f8066ef92b29590fe338e08e1efe7750a7076,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
f1c11d1a1946373555813f7e8e8d32c713692180525921b0352eac5e6f652831,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
6182d35d303be1828d0b8c4776c39b4977d3b7bc78e07df0eda0253793590c8d,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
2958e521f0f93fbb525df719dab1a98055f6ac64b62c4ca4a74d2aefffc279f8,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
4b581212ffa9c47b05acf127fb3418195f6f584b213a502a455269f431146565,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
8ff41988172e33fc273c9802a8febd7708a405053cea1d4774550f195aa568cd,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
cc6361c8c7c41a9f1f5b9e353b10dc2559ce41251cb6ed57c4fe9a983488eb27,fbfecc3ab3d37c2110eea3d76df9e922830247715c330c7b184f30277cb86b9b,aa36d9d738180d3e9568eec55fb7d601b7a9406205313a1d9914f9262f40efd9,Rematrícula por destrancamento ou descancelamento,Ativa
