sk_d_disciplina,cod_Disciplina,disciplina
977c66f9828c8b73e4820585c260e13e2d66dba1ab0f4cb1b98b10c60aa63301,MAB236,Lógica
de81c5356bbf5374466a3db552fbac8718abc3d03dd3bd59f58fadd3227864ca,MAB355,Arquitetura de Computadores I
b6f2d7cebc2148d3316050cfea83db5bd2c99a8473983f5191963c63d869c3a5,MAB356,Organização de Dados II
364dfcf52457928a33dc9a799709a07a2d41a2540ab8ef3eeb3c371880b74b49,MAB533,Fund da Engenharia de Software
def4682d25ac08dff9e665120fd38abc76b1eef99aece13cdefac98ca732d330,MAE231,Calculo Infinitesimal III
869ff19045da85bf4ddb2257326685b1cfdc44404381a0a52a141db8e0b03620,MAB366,Sistemas Operacionais I
6eb06967153688b4bdf3fddbf9c9002e60d0cd79638226e5b897471309ad423b,MAB489,Banco de Dados I
240c712c777262bbada7db50b26dd654c0affb3a88dfe4bc7d41034c17503556,MAB513,Informática na Administração
e7430ea483377d975c73b1ed9addfab5a2e9806c70345af6e8ddbc7d483104b4,MAD243,Estatística e Probabilidade
fed55eefa9268327b55be397276721b1945e9508d41f1f22d3d8dcb5d75f6290,MAB491,Banco de Dados II
0d19d67fdde9ff3848a3ef8e302b307d23b8c4a560c19bc1e9ae83783f535a00,MAB508,Inteligência Artificial
e350c3210a6c4d76329a77d71a3c761bd21b2c3dc5f1b40cdd1ff5ef7483ead2,MAB510,Teleprocessamento e Redes
291fe15e36f8a35d467d3536e2d6c536bd9418e6610f227b945d62c03e71a17f,MAB535,Modelagem de Sistemas Inform I
92009bbd10b93c239973ff21fb66836e185c092b73223fd126c1a9f5e561cd82,IEE115,Economia
d7890450cbdbf93d0e5cf7accfae88b416923e0084e940d295a64494c89052fd,MAB616,Interface Humano-Computador
79e16506c1ba7ddc6ebf311f65afd68ce953e9d0935f5956a1f92cee1bad94ef,MAB620,Geoprocessamento I
15965dd1ad9520496d1c5388040eed5535e77f8e03beadad306f7b3202130aa3,MAE241,Calculo Infinitesimal IV
b501752949604804597d39e44fa49868200330b2d235ae93bb65b6a6d0d4299c,FIM231,Física III
1b074ac87a2a24f776cfd9d9e709c5d5dc77c1fd1009a0904a22de3267746b83,MAB529,Progr Orientada para Objetos
2abdf68a778828ddb439873389c9cb282ec1c855c722404c567cdf668d47aaaf,MAB621,Sistemas Embutidos I
007fbe2fd43ba03f9612c971f5da3196501a449648ec4d16c2cfc8524792264e,MAB222,Computação Gráfica II
62d28f497c05d365564a3681ef8933e3ba8d388822aed39b7114ee96d7ff1e9b,MAB232,Programação Linear I
60673c0d069fe4d7e4dd0a5d7c3e6761075b13b3417a7a0073ddc48ee47f3fbc,MAB515,Avaliação e Desempenho
c48d5518aa1a2c50460fed03089c688d323629c0d27e52a4e2d812602b3748da,MAB606,Tóp Esp em Programação
196d24660e24faefb61c544b1a5052f5d882ccc6b1105d74755ef154b8c66d3d,MAB607,Empreendimento em Informática
12f769113c5c3e546a86a14a514096838da7d7ea4c392b109536fe3bdc7ffdc4,MABX02,Projeto Final de Curso
63c7eba72f3dc800716257c90d9b11bb10e4ebb31cdcf28286ce36435e4cdc9e,FIW231,Mec do Sistema e Fis Termica
33a23278da5aa6215b1a1f15f76e6739d81f07349de6843dd4b6d97c5df66c3d,MAB369,Arquitetura de Computadores II
20af73d950d33c2a6de94fd2d5ca4273caf88ff2bfa8d765207d9cba89acf599,MAB534,Proj de Sistemas de Informação
fa1851c7178a5ca652bdbb609397732777b444e5be4aa4bfab3851d6508e2a0e,MAB601,Top Esp em Eng de Softaware
69c74b0dc4bd99f8f39728f26b5edb757d2f12f54e08ea57e9fb2ff0820ba086,MAB613,Met Desenv de Sist Informacao
3d09f908c92a34baf84a290f0d97243d70ce7c550883c553289720d513f9cceb,FIW241,Introducao ao Eletromagnetismo
488a1f36e3261c142b612efba5fdd5c5ad5c5fef1f5b9467a3c8769de4f12494,FIW242,Laborat de Eletromagnetismo
39834a80f6e54bf125deac995538d5c6c1b5642497dd818b1d459b5fdc772698,MAB619,Tópicos Especiais em Redes
dc212ebbdb548ab13c873cab49f75947c29b8332e9b5a38e36052d8c63838160,MAB624,Números Inteiros Criptografia
f4bae07a7bdfe9833274745b90c651987befbf9397642e9f4e3c00eadd1db327,MAB634,Conhecimento e Inovação
2e776085e7bae5de97896c28429522403ccd0a7b214cb4b0b9c843200efa9424,MAB242,Computação III
f01904d205fbc581a36e55652e55d6831fe8b3cdbdcb3f946ab4278abc4690d1,MAB519,Informática Aplicada ao Ensino
1131c255c54b3c5ffd869c314226ec19ca20cdb1c1338aff406a56b945bd70bf,MAB518,Teoria de Grafos
b94f2e3c271228b4550d73f47d22d378e30c48557a76f7c01d927f05563ed146,MAB527,Tópicos Esp Sist Informação
e4b4dc9868db99e7a7c2f8c49d7597179bcf9697daf3190b9a46bada9bd15efd,MAB601,Top Esp em Eng de Software
eb95301c3ffcb33c32ede4b7ccf5ca3d95e6268ba9045ef1e69794725fe246c5,MAB630,Bioinformática I
61c36e84c9451bf6ec029565fbd99821764c409af20a8b8d0a2709ac0ef317d5,MAE363,Top de Matematica Aplicada B
2906ca8f48f50592840b2d85f80bb5371e370d5ab988fba37111d1b62dc358d8,MAB235,Lógica em Programação
e00d34f9f6ce2d40f91a41edce5bca7217aad2373562d29074bb837926f098d0,MAB479,Topicos em Computacao I
8af80e68094de298c1902798177457817f6670a06aa448174600cdbf0263c77d,MAB611,Programação Lógica Indutiva
1f45af703288cc7598991b9171aa3d5c783a3df9f366fb05457c0718186fa0bf,MAB608,Top Esp Intelig Computacional
ca326b733f7913a7de711b91667a5ecf52cdcd426a94b44f2089c803985c443e,MAB618,Telefonia Ip
7a93cfa230c45539ca98578d5e86ebda2cd687764ee847a38652a42fb13fffdd,MAB626,Estudos Dirigidos em Redes
88d1dac0c876a8ffaee709a898df3358bafc57e8acd0876b1492bf651f71004b,MAB627,Tóp Esp Roteadores Roteamento
c2be3a77085d96d4d071a6f59f3a1974c29fcd7cfcfe2374684284a4b96c5902,MAB604,Tópicos Esp em Comput Gráfica
d23e80bd8ec3445a9d42bbb6be4179fcb3a0fa23cfaf36f2c52975fc7a0382bf,MABX03,Monitoria I
e7141983565bdb9eb94062a3c0e4464d8ef6455dcc5d66c38c6f1a5d679a291b,MAB631,Tóp Esp Sist Inteligentes I
a7217092047498ba173a21ff3b127b5dd84065b6ab3618980c91e5bcedc8c55c,MABX04,Monitoria II
377d7363bb8d6a0148f2827b25b91f89a353f349bf715a094dbace1256422377,MAB525,Tópicos Esp em Int Artificial
4116ebeb53769b9a8b4f8aa7e31ebb61edd3f5705d11748410410d3e68a10ebc,MAB603,Top Esp em Compiladores
accdec69de182d26d07e5a20290dadde443846dde9d218683109563ba9573e6d,MAB617,Lab Sistemas de Informação II
06e690a7a257806bdfb556080f428d75b03ac6cd8dc422197cd99e9e3e4c0cd0,MAB612,Tóp Esp em Banco de Dados II
fb6a9e512ea8ad71c5a1b80cf7e9563fb6150113fe9bed19971f9d33e86feaa3,MAB538,Laboratório Proj Sist Inform
02a30f0a3ea25bc7ace36806dce1267fd4131a43c779faecf396448dd5017656,EEI054,Geren de Proj e Eng Simultanea
da487e2cc6adbeb2aa85b3e0f7aa3412823deb88c3afc72d0e390d7a9311f25b,EEI934,Marketing
86bc8ca56d982ecda3b90b3bd9ff46d2add91d089c30faaae5a1e09e36254575,EDD616,Didatica Geral
b34d34d5d78d3d92cc225b644d272c5892eef68bf958e96d8481da89ac70c83f,EDF333,Sociologia da Educacao I
dea05bc9c0037c460ef4774b80fa841a8c825ce008190cee4b57812e883064f4,EDF526,Psicologia da Educacao I CP
4f71c5e64310e5a1abf54006c4fb61261cc44b19e75f83eb4c10d894c943bb8e,MAE353,Top de Matematica Aplicada A
659868d812201c6eda107f5321bff97320f6c71579048875a515fc5183049143,MAB625,Tópicos em Criptografia
28ecd8049373a9f420c24fcbc683a23d84e8dfe2bb0e7eb84f5a965a3db1203f,MAB500,Perifericos e Interfaces
8158ebac8dae1b2e7d4da2375a2a5d69c29dec9500480aa438acad0e4e92744f,MAB478,Métodos Numéricos I
92017a45ef235c038e7632a59e37ee7be639d2ec23e91dadbb0abad3addcca7f,MAB528,Tópicos Esp em Algoritmos
6d26d5475eb71ae3ee6719b405a60d893fe1910a7333570c192462da06af36e5,MAB610,Computação Algébrica
21a82a1e59c6ab4b8cade26e628146e400aa55bdfbf32e2be6d476c71a401ff9,MAB622,Progr Paralela e Distribuída
0c8b1bde9210278582530f9cd1d00034f13d1f9a99f9ab7d2c06081236c6ad1b,EEI426,Engenharia do Trabalho
b5f7e9b886df46b3c08e89994675ba6d922fda37891a59cd799e0b8386ac626c,MAB600,Sistemas de Hipermidia
8331f37800923b81f9ced9f2d4f04b3e9f23ca473672e4cd3ab231c94852b0b5,MAB602,Tópicos Especias em Automação
5fad985767614cfc3bb504cf0e3c980c85140ff74079db23eb38ee2aadb17fc2,MAE473,Tóp de Matemática Aplicada C
090f02af378f8738427cf71d088aa08916e01e8696f83ba0c940214c2d35b152,MAA233,Algebra II
72aa90a22a77ffcad266a8418a6ea70d745cba883b00fc8e97c7a1b4ec2fd037,MAD233,Calculo das Probabilidades I
e519f41f55326a5b07648579c13b1c2597bcbac1cc87da8810a04d500e8cfb67,MAE127,Equações Diferenciais
c8a55a01350c21e0dc2248942ae0afd8f0e4ce996326c18eb90c6e0423d3945c,MAE242,Modelagem Matemática
90bb6c7d7670d3d1f3fcc50eab33d2a8e8cefabb7d8840dbd7aa7fbbc2a4da26,MAEX10,Seminário
ef802cb5b307b91fbefa1a66bfbd511358c30b3f7b2921c630bd14e116c19e5e,MAE113,Computação Científica I
c9b9f7457194f952a0ac179d1740ec094f53694015c00f2ff82fe3018bc934ab,MAD352,Calculo das Probabilidades II
991a44b43f65a23a04a9cac12e148966c6133c0bd693da4b45c89bcbcd876ce1,MAD364,Processos Estocasticos
f663d57e297a41461ccbb4cab0d4714c9d401d9fbfb48d70a794b83a24edc778,MAE122,Computação Científica II
f4b7eebdacaa36e13268b5dbe5469bb7ad85ed28d19abc09e5220165e5a1d1eb,MAE240,Análise Real
31704e6814922b7de7f4df8eec49117b991901d06237edb325a0524129bc09c6,MAE351,Cálculo Avançado I
f2e7e1385068c9a05df72280f1a38b349a37b6709b50c7919fa48cab09f64fd2,MAE361,Cálculo Avançado II
511af864cbbd9ac5636f0929869199809e1ec834737548ee68f4ee376472ebb9,MAE362,Cálculo Avançado III
96ad79d62452ff24b9f50ec79efd9d94c72117b2a5c719d5f505f534bf3ad2ee,MAE471,Álgebra Linear Computacional
61467b29be4a67186a751ed4e92d51dc06d80431d952701e6c63e4152c8215de,MAE478,Teoria dos Grafos
dd2d6a12f90262acb004ccc20f6bfbfa9d9a94d662ddd35fca7f55c41650e151,MAEX11,Projeto I
3f230ca59ad7ff113dfb2c39f2c70a85be4e4972266f89dcd0613e1a7228c4f1,MAA114,Algebra I
df6f4b64594be0afd511dcc55550537e306ab96a9c9424619fd04e3d08d242c7,MAB121,Computação I
96636ddc5d871f143f54d4812e31a95d79fa94877ce9323274e45200d2e40805,MAEX12,Projeto II
6443551721c8799599f041a85bb54b1fd00b0780332460bd18c63a0c1c1c0ca1,MAB501,Programação Não Linear I
98d992b9c513677b6b44a2b19fdc2a4f24b0d0de8447a190eb74c44f71465930,MAB637,Governança da Internet
2993d0e1bb6ecd5e29879451e7463a05cc6075da0e70d78b50b2d807b4199390,MAB240,Computação II (CC)
4831abbc49e3963e443cfe77fde3e1f4966cbaa7adf118d9e06bd4f07bd6a4d6,MAB613,Met Desenv de Sist Informação
2d80af3b9d44fd1c35b87c774988047a365cc3981680204d246454670dc15cdb,MAC117,Geometria I
90c4bf5516f1b3a75f927918ba5b1dfe7ce4eb515967e1e9a4e06e586f2ec7c4,MAC118,Cálculo Difer e Integral I
5f64318bc8bfcdf30a6fdd24eeb37b2f6bb07e37348cacfb964028f31c560b86,MAC123,Calculo II
37215af49b6f28ed0c11685902455c319b75372ff1c14038bbecc2a4e47f7c62,MAA243,Algebra III
96421ff1660ecfd421930f1a0d3386e47b3ca35d46f48fa05912e9e518c4d004,MAW231,Calculo de Varias Variaveis I
20be0c4c1216e207af46614c5d2bc2df74176a23e0c34fa5928c0f7033a99a3c,MAB609,Tópicos Esp em Banco de Dados
7ffe6d31b3c9f581c23d82f102ff398be05bb48ccc3115407a9faa056a3b88a1,MAB614,Tópicos Espec Programação II
4914921ae22f76a70fa1f0b413b47702713d7344e036d2df194c48f834ad860e,MAB536,Modelagem de Sist Inform II
033f98a3c66edf77cd46d521f6692c948ef5e97d568cf1bc7af0e8d4b07d0976,MAB605,Top Esp em Sistemas Multimidia
f8c0515926ebfae0770e0b3daf40c03fc3cadc49d447ba83c783d7fc5fe6f87a,EEL878,Redes de Computadores I
7d38beb8b5a8cacacfa002018b42bfe786502d3bd21bfea22912fa0a31a85914,MAC233,Calculo III
42b4dda4bf57b425b22a1052aec97381f4b1b02e5a14f578fa6ea9c76d13d8cf,FIS111,Física Experimental I
e7764163d251e219c52aa428b2cbea7ba2bebe5394ad9e765f5a9c6df9fa0bec,MAA355,Algebra Linear III
cff0cc5c67906d51c982d721d6557755983329cb8a4fd37f1e317b18aabb9b86,MAB231,Cálculo Numérico
5ed6ff8fa42d4caa30935c344f3e74b5b515962dd91c40959ce8fe4444bd9883,MAD124,Introdução a Estatística
ac2fe8c0b07dd5584851847980610811f19f53fa434608501abb9d8845350880,FIT123,Fisica II - B
e61b63b308a67225aa74afdd710dec0934132ddb89d060a4b4cf573605cc2b99,MAB488,Métodos Numéricos II
58fbb0d92c534dbfec547d1bea5093459a49386b2f173d9a046d4cefb0a7ae63,MAW115,Geometria e Desenho Geometrico
e95172d41fbdfbc10bbf20791c0cfe9ce68e2eebc0b42a97175bf4b0903e1890,MAB524,Otimização Combinatória
22259b7688ad008baad54c49ad9599fe85568264ead833b5de66815924cbccd3,MAB633,Algoritmos de Aproximação
c79e4fe9f9fa2d1b88dcfec25450b80d7209e879251c36b3be3bc3ee534f90bb,MAC119,Matemática para Administração
fe32d6a572b96dcb1b0dc3ba3fc5a806274d03d9cbb7f0e24a050d3a1a109e3b,ACA115,Fundamentos da Administração
9f59a5760c755c515e825d43434037cd8d3c069534e38b02c20dc1052e2e88ce,ACA211,Informática para Administração
8e5241447014731cd30e28d03090573e99e96969295c9d068f31ffaec5f16649,FCB121,Sociologia das Organizações
c2ea09fdf537034ce93b0e3f9e705580ac8982899ba05835ddc9206103c177e0,IEE110,Macroeconomia
c9e560e1e9f031abcb39a16a254cfaf7b0fb36d81b5c05eb68de063a14f3d675,IUF110,Introdução ao Direito
87f9707c43d19fd0ff9d8b3ddfe5736aa0546d72ee89370545da1b2fc2870655,LEV121,Português Instrumental I
336db939d61b2ec0e17ad05fcbb9262ac13f8f49f114ab04f7137726a2186a1e,ACA122,Teoria das Organizações
1da14a81532ce3f6869fc35b358174ee897ee3a1db7944bfb3dde9a7defc1eaf,ACA226,Matemática Financeira
e14dd2c097f7a48ac68acea2e1de4c1ba00b8b341a3afbe189e9024ba94c11d9,ACA227,Modelos Probabilísticos em Adm
e32b589da9e6b73530c36832a0b72d8a86fc871b315b239983e12849f7ba5a7f,FCS221,Ciência Política
d2ab243a3bc0d214377c3568085b4e7ffd56994e4ffedfb465235e9fcee7c94c,IEE128,Microeconomia
6158ba6c48e749f85cd570710a7803416dd8be64850931b143a43ddd9f96b96e,IPS120,Psicologia das Organizações
5fc3b372da74175e02106617724b67f0f049163caeabbb5d417306e0178a394c,ACA129,Modelos Determinísticos em Adm
a401e10bd8888c20b27d02ad9fc2930d5ab29b4e6d7e49133ed5d78f1aea4ed4,ACA224,Processo Decisório
e6da989a66800b328295f1357cc5dadf416fd556c99d01552f0fe5548fd73a62,ACA302,Análise de Investimentos
726ddd68a92e77ba7d6eee6ed968e545c42b5554a79cb61efa94bf636702e4e7,ACC211,Introdução à Contabilidade
39fd5c84e5a8c4e20cf9f25bf2b27b64f5d0d0bdf81232d2460473842c85a7ed,IUF120,Direito do Trabalho
170678ecc09269f52b40fbf2afde0bc6e2fe8f2b4afff114083972fd3c8e8c6f,IUF210,Direito Comercial
371d366de532959330311a3434298060035ff1a59bab44ab32cd266a7fd6ea7c,MAD211,Estatística para Administração
0c98130f63e56e04d98a3bec0402abd92ab0267c2ebcd2574abe51f9642b000a,ACA221,Filosofia da Administração
04ee3242febe195a2dba8ab119a46ac5fb904395250c7f269a50d768aac99215,ACA223,Metodologia da Pesquisa
76b2727aa23a363e57c4d299c54009b68db235d55f0576bc92afa3c6ab507d3c,ACA225,Organização Sistemas e Métodos
36f66a0bdbcd0d46785293f7a2d8d6fb1c0359beba66cdeb9ac30310c596799f,ACA228,Modelos Regressão e Previsão
75521f891a04ae750b160d2570530770d7b6edafba9c737a7eaae855d6668e90,ACA326,Administração Estratégica
945293f76e98be0992c63d81d400400a3c3b01d40b5e5d9670b420b053f247fc,ACC222,Contabilidade Gerencial
0c8028a481b08e1a2436d38a0693f0d2bf85ede6bd345b5105137222ac7c9ca1,IUF400,Gerência Tributária
91ea2363f2c2847e41132eba96a8aa3062fb2072ee8c79d67cd1439de7f0251a,ACA301,Fundamentos de Logística
b93d64b3d5e604b8cf7e9341623024c3ca35abd6515ebe385a1123b1c8983f8c,ACA323,Análise de Marketing
cbc114e12dc50266b744b6a691788e0665fc81a5296a7b6bc82f6a862a0c0387,ACA324,Fundamentos Recursos Humanos
3536305e2581cc86bd59db6c3769e0ce8fc229341d883fad715df988915c7cab,ACA325,Administração Internacional
5cac475d8b7c71c89a7b8cd7891874fb016a8bc49f2b566b381d0da1921c2cc9,ACA332,Gerência Financeira
a586d66caeadb614956030e758e9de13b2cbf12895f93e3b21ca5b9ed236e739,ACA222,Sist de Informações Gerenciais
2e58b961e7483cf48144aa944e573931d872e8ff07e4a52df7de281666fb3900,ACA330,Modelagem e Simulação Sistemas
f9741df89ca73b454c36682b5f8e219b6486a4a4fc380ecea117ebf6bf3afae5,ACA331,Administração da Produção
c616471f3de2e63b833f504fbb3c46af18fa961f01532d797784bc0b1303eefb,ACA333,Políticas de Marketing
a1de4f7032a4e3e4921d7579ece7cc9da67fb569724e9997866e0cfc760b5292,ACA334,Políticas de Recursos Humanos
49cb564915420edeed76a44f3ba3466bdfbaadb37e59f230175bf47a3d4c16e6,ACA341,Adm de Compras e Materiais
2298308c8f5c99d572a10b8702ab4a58576e3ee8c86d031e67e677feff08146d,ACA431,Estratégia de Produção
7551b18cefaa60b1124a1bdfd7016bfe8fc75107271f0f4f682865e886e11ca9,ACA440,Comunicações Administrativas
fc8a4a1f8c429252ab8ce32544c0a49972e10df544656bff847cc9b85ad8ba25,ACA451,Aplic Pesq Operac a Logística
9cdc8d2ae705ac56c120a27787d454731e42a9c850391513fae249f05566c21e,ACA530,Ética da Administração
b25f218f8675945e0a6a97fadba006bdfc9620c0e12976892acc2f0a6513ce3c,ACA561,Sem Avançado de Logística
58f1c3e5a35c1e3f92d906c41bfa99f5a17fb777fec62ce933c88a001a51746a,ACA450,Seminário de Monografia
f90b882eafd5615ffd34b2a3a1cd2abd223c48b5f4cd5f517cd502790a810a62,ACA521,Sistemas de Transportes
214e62b525588fe9ca52f03bcc77cdd3a9ccf0f48863ea330185372184b8449f,ACA531,Tóp Especiais de Logística
6b4f2ba5e6979f9667e2a40f69bcbd9e5cceed551e8fb70b7a7560718e50eea9,ACA542,Tóp Avanç Finanças e Controle
ee1c343fa994d0f7e243703e58975890b145f71302585f0d6831fb432a68bb27,ACA546,Top Avanc Estrat Empresarial
b6c7170d7c8a533b2c926bb9127248967c55c96c091f149a1c0f9350997532b0,ACAU01,Estágio Supervisionado
4a6d2619d1ee0d722f35dde363007fa5bb253dde3c82ead4f239a01654b14d89,ACAK01,Monografia
877ea13e6e51d3fb317317b82963c22376f191c36b5aa6513c12f958e38fb2de,MAA240,Analise I
261bc13bee603fbe05dfb938a7b4f1b1dfbc2493447aa9b2132e19d73c80ed0d,MAE352,Algebra Linear IV
36a43f1bae4aed9b124c96032e9ee9703787897d743e3ddd8d5771e7a29b830c,MAA353,Funcoes Complexas I
9e14759377edabd1a5ca5cf906928b732f4730a1c16feabc6f1b7b03cd07a6e9,MAA245,Analise II
e55fc1c276c07fe548e6144dcf1c43f9419b12f1a6a72fb8940096b7c06a312f,MAC351,Equacoes Dif Parciais I
6a00be468fc534b1070c0560fe11ece57fca2103cb8935fe9998e8640bc97e06,MAC360,Geometria Diferencial I
898d54638db9545918dfc09923b9d3caf9d22f043377ffdf333371b4f3d9f0e2,FIM240,Física IV - a
d862acb2321c886494e02451b3d9f2f42fc3e757587a48cc2158a249bebef7eb,FIM230,Física III - a
82eea84c61ce014f4c7b57e207cf6905dc6d0f83e431a0a545533758f89c38e9,MAB490,Laboratório de Banco de Dados
c6c42c4be83cd6efa8e67467f5efc18666e5d64c7a6e20efcde428f2cc4d561f,MAB465,Top.Esp.em Informat.na Socieda
115abf0314592bfe2305808fca36d82fb6b8abbcf04cb653042c53f9b510315d,MAC238,Cálculo Diferen e Integral III
fb6242f7c3f5a2e88793eb88d5b214a22d60fd06bd9d0768e1bf760208a1974a,MAB532,Laboratorio de Metodos
c50101e85d894b2edf85520441cdf92e2860c80ccd5889ab10b744a7a5716e44,EEI052,Eng.de Processos de Negocios
d415d391d11b0d2a68d831442fb49f141af47764e48803bbc1a432477cc75af0,MAB516,Anál Num de Eq Dif Ordinárias
1baa4c3484d771f9198a7975ff0d3172d3a1c6e25549c89666b49908ab1db344,EEI053,Ger da I e Cri de Emp de B Tec
b9948029a33a7c1ef26309a75592415747108bcdcefc7520d6a5b4a48ab1aa52,FIS123,Fisica II - G
445d9e1a977f41aebc8928539167c91ca1bc799a30b073448a610d82ef126dba,EEL871,Banco de Dados
da44cf8e2831fb2cfa2be0148c8017d99c418d8c70860eeb56f801a0d41e99df,EEL884,Eng Software Orient a Objetos
719dab6fef8ad2c83185195e0c93e58b70a50efea6ebed6e134d6b9957b4d54d,EEL770,Sistemas Operacionais
caf4a682eb980de4d670a570fb2e6d07de3970b24b994cfe1ac848856d52ad6a,FIN231,Física Experimental III
25ead3e15927381d37a951a4a1bc8c01b259a81f3f9d5c0c136caaaca8d19feb,LEO180,Japones I
3b73107ebb2034a7f9b4577a8c8538bb206d69fe9af7d8c1ce7ed8ef82116505,EEL875,Internet e ArquiteturaTCP/IP
7c6bd71648a01a42f711b9363e9afc026e9adbb36fea9093633db8fbf66b438b,EEI533,Introducao a Economia
58df97f174a410b7c41ef3a1c6ed5e38c1c0759d1b5ca906e95609394e173a96,EEI836,Economia da Empresa
b113b40e6eeb57905d7d78b4e35fa1478d8d38465fc69d420a88f4448261a597,MAWX01,Monitoria I
e9767e481293c7876ae8905419ab23a69d422c8ae6c2c4f67dc49221fc3c101f,EEL876,Microcomputadores
7c32bf6bd35ae80c4ac219fbd26272a44f15f1fcc21df39a4350d12f869918bb,IEE106,Algebra Linear
5916d425b41da7281a2fee28fce3a48a8b129df0be8dc83ef19a150ec7640c06,IEE231,Int a Estatistica Economica
6deab96b161c963652d3288a6b586b00b707e2d81638a032d81a75995c160521,MAC111,Matematica I
57454ed79658685a204da4ac1570985bd287bec45fc63510f10922b141b53c1c,MAC121,Matematica II
1e424a2ce55dbd33a2e44b0e2e806f6b08ebcdc8a4707fa7cf1f49294faffce2,IEE107,Introd Economia-microeconomia
8a92dd63740937583aa02e0516bde97fa186c64442df854ee13135295684b3a6,IEE114,Historia Economica Geral I
f974e35285bb4b7968571e828d9716a66fcb56eaf7c3da8462799064ecb6256a,IEE205,Introd a Econ.: Macroeconomia
04173beee59c967fe2eb7cdcd741ff39d7ecc2d7d1407b393637f63df911746a,ACC121,Contabil e Análise de Balanços
8e8936ce146799eb32550585c7596f5a24a0107b072ed813f395f6fa31fab459,FCB119,Introducao as Ciencias Sociais
b3eed82eeb3f19ef2bab8467bca83213f7fd1721c8db26d9af109f7f61bd1dbd,IEE124,Historia Economica Geral II
e5b847d7773218bf6aa777f26cbfc65871c87e721f90cb051b150428de23bcd3,IEE206,Teoria Microeconomica I
f1a30a13757ddc641cffe2d6f52593eb46bd9214726950c74663563bacda3a31,IEE207,Teoria Macroeconomica I
63c90d76a956a6aad6bed87c4f9dd0b7afae72412a782bb7bcb0b1a703e94a69,IEE105,Economia Politica I
7965513d6109661a6f460495b1164b805ed85829e812571685d1ec921dbf7b55,IEE121,Ciencia Politica
896d7d709f37196ccb87fe777a6f261e7419d1c0ec793eed7edd91a5af0d8ca3,IEE221,Teoria Macroeconomica II
7722f216121a20f66085b4c71cdee09ea037bf7cdc3ff3fd93f340562c668f59,IEE350,Teoria Microeconomica II
18c62bf002bc4da7ce21ab721a6566443646ef299ba58450d02b0108195bd1a6,IEE351,Economia Monetaria I
545ca89a1e0b1754d910610989d5a3ffc3f78ea03a22af51ba745dfb15c348b6,IEE201,Economia Internacional
7829db0b78a3c685883cea5b005b639d5c2948a9875ec4ab893c7ae19eda3395,IEE204,Teorias das Dinam Capitalista
e463dc6026d455405b51432475ea22f03ab045eeeb262fe72d9164e8910b3df0,IEE230,Economia Politica II
4c8fd1e842a9fb4fd6f7157f448b6501a285b8e32ae7987ae5fb8eaf4927359d,IEE240,Est Economica Int Econometria
